1000,abash,to make ashamed
1001,abate,to put an end to
1002,abbreviate,to make shorter
1003,abdicate,"to surrender, renounce or relinquish"
1004,abduct,to take away secretly by force
1005,abed,in bed
1006,aberrant,straying from the right or normal way
1007,abet,"to assist or encourage by aid, especially in crime"
1008,abhor,to loath
1009,abide,to wait for
1010,abject,"to cast off or down, to abase"
1011,abjure,to renounce upon oath
1012,abnegate,to deny (oneself something)
1013,abort,"to miscarry, to bring forth something prematurely"
1014,abound,"to be plentiful, to be very prevalent, to overflow"
1015,abrade,to rub or wear away
1016,abridge,to shorten in duration
1017,abrogate,to abolish by authoritative action
1018,abscess,to form such a collection of pus
1019,abscond,to depart secretly
1020,absolve,to set free from an obligation
1021,abstain,refrain from (something)
1022,abstract,"to separate, to remove, to take away"
1023,abut,"to touch by means of a mutual border, to meet"
1024,accede,"(obsolete) to approach, to arrive, to come forward"
1025,accentuate,to pronounce with an accent or vocal stress
1026,access,to gain or obtain access to
1027,accession,to make a record of (additions to a collection)
1028,acclaim,applaud
1029,acclimate,to habituate to a climate not native
1030,accolade,to embrace or kiss in salutation
1031,accommodate,"to adapt, as, to accommodate ourselves to circumstances"
1032,accompany,to perform an accompanying part or parts in a composition
1033,accomplish,to finish successfully
1034,accord,"to make to agree or correspond, to suit one thing to another"
1035,accordion,"to fold up, in the manner of an accordion"
1036,accost,to approach and speak to boldly or aggressively
1037,account,"to compute, to count"
1038,accouter,to furnish with dress or equipments
1039,accredit,"to put or bring into credit, to invest with credit"
1040,accrue,"to happen or result as a natural growth, addition"
1041,accumulate,"to heap up in a mass, to collect"
1042,accurse,to devote to destruction
1043,accuse,"to find fault with, to blame"
1044,accustom,"to make familiar by use, to cause to accept"
1045,acknowledge,"to admit the knowledge of, to recognize as a fact or truth"
1046,acquaint,to make familiar
1047,acquiesce,to rest satisfied
1048,acquire,to get
1049,acquit,"to declare or find not guilty, innocent"
1050,adapt,"to make suitable, to make to correspond, to fit or suit"
1051,addle,to make or become confused
1052,adduce,to cite (as proof)
1053,adhere,"to stick fast or cleave, to become joined or united"
1054,adjourn,to postpone
1055,adjudge,to declare to be
1056,adjudicate,to settle a legal case or other dispute
1057,admonish,"to warn of a fault, to reprove gently, but seriously"
1058,adorn,to decorate
1059,adulterate,"to make impure by adding improper, or inferior ingredients"
1060,adumbrate,to foreshadow vaguely
1061,advert,to turn attention
1062,advocate,to speak in favor of
1063,affect,to influence or alter
1064,affiliate,"to adopt, to receive into a family as a son, to ally"
1065,affix,to attach
1066,afflict,to distress with mental/bodily pain
1067,affront,"to insult intentionally, especially openly"
1068,agglomerate,"to wind or collect into a ball, to gather into a mass"
1069,aggrandize,to widen in scope
1070,aggravate,"to make worse, or more severe"
1071,aggregate,"to bring together, to collect into a mass or sum"
1072,aggress,"to set upon, to attack"
1073,aggrieve,"to give pain or sorrow to, to afflict, to oppress"
1074,agitate,"to move with a violent, irregular action"
1075,alienate,to make indifferent or hostile
1076,allay,"to make quiet or put at rest, to pacify or appease"
1077,allege,to assert without proof
1078,alleviate,"to make easier to endure, lessen"
1079,allocate,to assign or plot
1080,allot,to distribute by lot
1081,alloy,to mix
1082,allude,to refer casually or indirectly
1083,allure,"to invite by something flattering or acceptable, to entice"
1084,ally,"to unite, or form a connection between"
1085,alter,to change the form or structure of
1086,altercate,"to argue, quarrel or wrangle with someone"
1087,alternate,"to perform by turns or in succession, interchange regularly"
1088,amalgamate,"blend, merge"
1089,amass,to collect into a mass or heap
1090,ambulate,to relocate one's self under the power of one's own legs
1091,ambush,to act of lying in concealment as to attack by surprise
1092,ameliorate,"to make or become better, to improve"
1093,amend,"to make better, to change"
1094,amnesty,to grant a pardon (to a group)
1095,amputate,"to surgically remove a part of the body, especially a limb"
1096,analyze,to subject to analysis
1097,anguish,to suffer pain
1098,animate,to impart motion or the appearance of motion to
1099,annex,"to add something to another, to incorporate into"
1100,annihilate,"to reduce to nothing, to destroy, to eradicate"
1101,annotate,to add annotation
1102,annul,to formally revoke the validity of
1103,anoint,to rub or sprinkle on
1104,ante,"risks, stakes"
1105,antecede,"to go before, to precede"
1106,antedate,"to occur before an event or time, to predate"
1107,antic,a ludicrous or extravagant gesture
1108,antiquate,to cause to become old or obsolete
1109,appease,pacify or placate
1110,append,to add as supplement or in addition
1111,appertain,to relate to
1112,apportion,to divide and distribute portions of a whole
1113,appraise,to assess the value or quality of
1114,apprehend,"to take or seize, to take hold of"
1115,apprise,"to notify, or to make aware, to inform"
1116,arbitrate,"to judge, to umpire"
1117,arouse,"to evoke or awaken a feeling, emotion or response"
1118,arraign,to officially charge someone in a court of law
1119,arrange,"to set up, to organize, especially in a positive manner"
1120,arrogate,"assume, take or claim (something) without justification"
1121,articulate,express (an idea of feeling) fluently and coherently
1122,ascertain,"to find out definitely, to discover or establish"
1123,ascribe,to attribute a cause or characteristic to something
1124,aspire,"to hope or dream, especially towards a profession"
1125,assail,to make a concerted of violent attach on
1126,assassin,to assassinate
1127,assay,to examine or analyze
1128,assent,"to agree to, give approval to"
1129,assert,to state a fact or belief confidently and forcefully
1130,assess,"to determine, estimate or judge the value of, to evaluate"
1131,asseverate,"to declare earnestly, seriously, or positively, to affirm"
1132,assimilate,to take in and incorporate as one's own
1133,assonate,to correspond in (particularly vowel) sounds
1134,assuage,make an unpleasant feeling less intense
1135,astound,to overwhelm with amazement
1136,atone,"to make reparation, compensation, or amends, for an offence"
1137,atrophy,to wither or waste away
1138,attain,"to accomplish, to achieve"
1139,attenuate,"to reduce in size, force, value, amount, or degree"
1140,attest,"to affirm to be correct, true, or genuine"
1141,attribute,"to ascribe (something) to a given cause, reason etc"
1142,augment,to make bigger
1143,augur,"to foretell events, to exhibit signs of future events"
1144,avenge,to vindicate by inflicting pain or evil on a wrongdoer
1145,aver,to state or assert to be the case
1146,averse,to turn away
1147,avert,to turn aside or away
1148,avow,assert or confess openly
1149,awaken,to cause to become awake
1150,awe,to inspire fear and reverence
1151,badger,"to pester, to annoy persistently"
1152,baffle,"totally bewilder, confuse or perplex"
1153,balk,to pass over or by
1154,bandy,"to give and receive reciprocally, to exchange"
1155,barrage,to bombard someone with something
1156,bask,"to revel in, to lie exposed to warmth and light"
1157,baste,"to sew with long, loose stitches"
1158,batten,"to become better, improve in condition"
1159,bawl,to shout or utter in a loud and intense manner
1160,beam,"to emit beams of light, shine, radiate,"
1161,beatify,to make blissful
1162,becalm,"to make calm or still, make quiet, calm"
1163,bedaub,"to smear upon, to soil"
1164,bedeck,"to deck, ornament, or adorn, to grace"
1165,bedraggle,to make something wet and limp
1166,befog,to envelop in fog
1167,befriend,to make a friend of
1168,befuddle,to perplex or confuse (someone)
1169,beget,"to cause, to produce"
1170,begrudge,to be reluctant
1171,beguile,to deceive or delude craftily
1172,behest,"to promise, vow"
1173,belabor,to work at something more than necessary
1174,belay,"to surround, environ, enclose"
1175,beleaguer,to lay siege to
1176,belie,"to lie around, encompass"
1177,bemoan,"to complain about, to dismay or worry about something"
1178,bemuse,to confuse or bewilder
1179,benefice,to bestow a benefice upon
1180,benefit,to be or to provide a benefit to
1181,bequeath,to pass or to leave something over to someone else
1182,berate,"scold, chide"
1183,bereave,"to deprive by or as if by violence, rob, strip"
1184,berth,to bring (a ship or vehicle) into its berth
1185,beseech,to beg or implore
1186,beset,to surround or hem in
1187,besmear,"to smear over, sully"
1188,besmirch,"to make dirty, to soil"
1189,bestow,"to lay up in store, deposit for safe keeping, stow, place"
1190,bestrew,"to strew or scatter about, throw or drop here and there"
1191,bestride,to be astride something
1192,bethink,"to think about, to recollect"
1193,betide,to happen to
1194,betroth,to promise to give in marriage
1195,bevel,to give a canted edge to a surface
1196,bewilder,to cause someone to become perplexed and confused
1197,bicker,"to quarrel in a tiresome, insulting manner"
1198,bide,"(chiefly dialectal) to bear, to endure, to tolerate"
1199,bifurcate,to divide or fork into two channels or branches
1200,bilk,to obtain money fraudulently
1201,billow,present participle of billow
1202,bivouac,to set up camp
1203,blanch,to grow or become white
1204,blandish,"to persuade someone by using flattery, to cajole"
1205,blare,to make a loud sound
1206,blaspheme,to speak against god or religious doctrine
1207,blazon,to describe a coat of arms
1208,blemish,spoil the appearance of
1209,blight,to suffer blight
1210,bluff,to mislead by a display of self-confidence or strength
1211,blunder,to make a stupid mistake
1212,blurt,to speak quickly or without thought
1213,bode,"to indicate by signs, as future events"
1214,bolster,to support or strengthen
1215,bomb,"to attack using one or more bombs, to bombard"
1216,bombard,to attack something with bombs or other missiles
1217,botanize,to study plants or plant life
1218,bowdlerize,"to remove those parts of a text considered offensive, vulgar"
1219,boycott,"to abstain, either as an individual or group"
1220,brandish,to move or swing a weapon back and forth
1221,bray,"of a donkey, to make it cry"
1222,braze,the joining together of two metal pieces without melting
1223,brigade,to form troops into a brigade
1224,brine,to preserve food in a salt solution
1225,bristle,to be on one's guard or raise one's defenses
1226,broach,to mention or suggest for the first time
1227,broadcast,to transmit a message or signal via electronic means
1228,brogue,to speak with an accent
1229,browbeat,"to bully in an intimidating, bossy, or supercilious way"
1230,browse,to casually look through in order to find items of interest
1231,bruit,"to spread, promulgate or disseminate a rumour, news etc"
1232,buffoon,to behave like a buffoon
1233,bulwark,to fortify something with a wall or rampart
1234,bungle,"to botch up, bumble or incompetently perform a task"
1235,burgeon,begin to grow or increase rapidly
1236,burlesque,to make a burlesque parody of
1237,burnish,"to make smooth or shiny by rubbing, to polish, to shine"
1238,bustle,to move busily and energetically with fussiness
1239,buttress,to provide a structure with projecting supports
1240,cadge,ask for or obtain something to which one is not entitled
1241,cajole,persuade someone to do something by flattery or coaxing
1242,calibrate,to check or adjust by comparison with a standard
1243,calumniate,to make false and defamatory statements
1244,cameo,a brief appearance of a prominent actor in a video
1245,campaign,work in an organized and active way toward a particular goal
1246,canary,to dance nimbly (as in the canary dance)
1247,cant,to speak with the jargon of a class or subgroup
1248,canter,to move at such pace
1249,canvas,to cover an area or object
1250,capitulate,"to draw up in chapters, to enumerate"
1251,captivate,"attract and hold interest and attention of, charm"
1252,careen,turn (a ship) of its side for cleaning or repair
1253,caricature,to represent someone in an exaggerated or distorted manner
1254,carouse,to engage in a noisy or drunken social gathering
1255,carp,"to complain about a fault, to harp on"
1256,castigate,"to punish, reprimand someone severely"
1257,catalogue,"a list or record, systematically arranged"
1258,caterwaul,to have a noisy argument
1259,caucus,to hold or form such a group or meeting
1260,cauterize,"to burn, sear, or freeze tissue for curative purposes"
1261,caveat,to qualify a particular statement with a proviso or caveat
1262,cavil,to make petty or unnecessary objections
1263,cavort,"to prance, said of mounts"
1264,cede,"to give up, give way, give away"
1265,censor,to review in order to remove objectionable content
1266,censure,to criticize harshly
1267,census,survey
1268,chafe,to wear or abrade by rubbing
1269,chaff,"to use light, idle language by way of fun or ridicule"
1270,chagrin,"to bother or vex, to mortify"
1271,chastise,to punish or scold someone
1272,cherish,to treat with tenderness and affection
1273,chide,to scold or rebuke
1274,christen,"to perform the religious act of the baptism, to baptise"
1275,chronicle,a chronological record of important historical events
1276,circulate,to move in circles or through a circuit
1277,circumnavigate,to travel completely around somewhere or something
1278,circumscribe,to restrict (something) within limits
1279,circumvent,"to overcome a difficulty, typically in a clever way"
1280,cite,to quote
1281,clamber,to climb something with some difficulty
1282,clangour,"a loud, resonant sound, clang"
1283,clarify,to make clear or intelligible
1284,classify,"to identify by or divide into classes, to categorize"
1285,cleave,to split or sever something
1286,cloy,"to fill up or choke up, to stop up"
1287,coagulate,to become congealed
1288,coalesce,to grow together or into one body
1289,coddle,to treat in an indulgent or overprotective way
1290,coerce,to persuade
1291,cogitate,"to meditate, to ponder, to think deeply"
1292,cohere,to stick together
1293,coiffure,to style or arrange hair
1294,coincide,to occupy exactly the same space
1295,collaborate,to work together with others to achieve a common goal
1296,collapse,"to fall down suddenly, to cave in"
1297,collate,to gather pages in their proper sequence
1298,collide,"to impact directly, especially if violent"
1299,commandeer,to seize for military use
1300,commemorate,to honour the memory of someone or something with a ceremony
1301,commend,to praise formally or officially
1302,commingle,"to blend, to mix"
1303,commiserate,to feel or express compassion or sympathy for
1304,commission,to send or officially charge someone to do something
1305,commute,to travel from one's home to one's workplace
1306,compel,"(literally) to drive together, round up"
1307,compensate,"to pay someone in exchange for work done, etc."
1308,complement,"to complete, to bring to perfection, to make whole"
1309,complex,to form a complex with another substance
1310,complicate,to make complex
1311,comport,"to tolerate, bear"
1312,composed,"calm, tranquil, serene"
1313,compound,to come together
1314,compress,to press or squeeze together
1315,comprise,"to consist of, being made up of"
1316,compromise,to bind by mutual agreement
1317,compute,to reckon or calculate
1318,concatenate,"to join or link together, as though in a chain"
1319,concede,"to yield or suffer, to surrender, to grant (a point)"
1320,conceive,to develop an idea
1321,conciliate,"make calm and content, placate"
1322,concoct,to create or devise
1323,concur,"to unite or agree, to have a common opinion"
1324,condemn,to sentence (someone) to a particular punishment
1325,condense,to decrease size or volume by concentration
1326,condescend,to stoop or deign to do something
1327,condescending,showing patronizing descent from dignity orsuperiority
1328,condonance,the overlooking or implied forgiving of an offense
1329,condone,accept and allow (morally wrong or offensive behavior)
1330,conduce,to contribute or lead to a specific result
1331,confederate,joined by an agreement or treaty
1332,confer,"to discuss, exchange opinions"
1333,confide,"to trust, have faith (in)"
1334,confiscate,to take or seize (someone's property) with authority
1335,conflate,to bring things together and fuse them into a single entity
1336,conform,to act in accordance with expectations
1337,confound,to cause surprise or confusion in (someone)
1338,confront,"to stand or meet facing, to oppose, to challenge"
1339,congeal,to change from a liquid to solid state perhaps by cold
1340,congest,to overfill or overcrowd
1341,congregate,"to collect into an assembly, to gather together"
1342,conjecture,"speculation, to express an idea without proof"
1343,conjoin,"to join, to combine"
1344,conjugate,to list the inflected forms of a verb for each person
1345,connive,to cooperate with others secretly in order to commit a crime
1346,connote,to signify beyond its literal or principal meaning
1347,conquer,"to defeat in combat, to subjugate"
1348,conscript,"to enrol compulsorily, to draft"
1349,consecrate,to make or declare (something) sacred
1350,consign,"to transfer to the custody of for sale, transport, etc."
1351,console,"to comfort (someone) in a time of grief, disappointment, etc"
1352,consolidate,"to combine into a single unit, to group together or join"
1353,consort,"a wife, husband, or companion"
1354,conspire,to plot something unlawful or harmful
1355,constrain,"to force physically, to compel"
1356,constrict,"to narrow, especially by applying pressure"
1357,construe,to interpret or explain the meaning of something
1358,consummate,"to bring to a state of perfectio, fulfill"
1359,contaminate,to introduce impurities or foreign matter
1360,contemplate,to ponder or consider
1361,contend,"to strive in opposition, to contest, to dispute"
1362,contort,to twist in a violent manner
1363,contravene,"to act contrary to an order, or fail to conform"
1364,contrive,"to form by an exercise of ingenuity, to devise, invent"
1365,contuse,"to injure without breaking the skin, to bruise"
1366,convalesce,to recover health and strength gradually after sickness
1367,convene,"to come together, to meet, to unite"
1368,converge,"of two or more entities, to approach each other"
1369,convey,to make an idea or feeling know or understandable
1370,convolve,"to roll or coil together, entwine"
1371,convoy,"to escort a group of vehicles, and provide protection"
1372,convulse,to violently shake or agitate
1373,correlate,to relate things having corresponding characteristics
1374,corroborate,"to confirm or give support to (a statement, etc.)"
1375,corrode,"to eat away by degrees, to wear away or diminish gradually"
1376,corrugate,to draw or bend into folds or alternate furrows and ridges
1377,cosset,to care for and protect in an overindulgent way
1378,counteract,"to act in opposition to, to hinder, defeat, or frustrate"
1379,counterfeit,to falsely produce what appears to be official or valid
1380,countermand,to rescind by giving an order contrary to a previous one
1381,countervail,to have the same value as
1382,course,"to run or flow, especially of liquids"
1383,covet,to yearn to possess or have (something)
1384,cower,to crouch or cringe in fear
1385,cozen,"to cheat, deceive or trick"
1386,crave,to feel a powerful desire for (something)
1387,creak,to make a prolonged sharp grating or squeaking sound
1388,cringe,to bow or crouch in servility
1389,critique,to give detailed analysis and assessment of something
1390,crusade,to make a grand concerted effort toward some cause
1391,crystallize,to make something form into crystals
1392,cull,to pick or take someone or something (from a larger group)
1393,culminate,to reach a climax or point of the highest development
1394,cultivate,to prepare and use (land) for crops or gardening
1395,curtail,to cut short
1396,dabble,to work at anything in an irregular or superficial manner
1397,dare,to have the courage to do something
1398,daunt,to make (someone) feel intimidated or apprehensive
1399,dead-heat,run of finish a race exactly even
1400,debase,to reduce in quality or value
1401,debauch,"to morally corrupt someone, to seduce"
1402,debilitate,to make someone weak and infirm
1403,debunk,"to discredit, or expose the exaggerated claims of something"
1404,debut,"to formally introduce, as to the public"
1405,decamp,to break up camp and move on
1406,decapitate,to remove the head of
1407,deceive,to trick or mislead
1408,decelerate,"to reduce speed, to slow down"
1409,decimate,"to kill, destroy, or remove large percentages of"
1410,decipher,to succeed in understanding or interpreting
1411,decorate,to furnish with ornaments
1412,decry,"to publicly denounce, to condemn"
1413,deduce,to reach a conclusion from something known or assumed
1414,deface,to damage something in a visible or conspicuous manner
1415,defalcate,"to misappropriate funds, to embezzle"
1416,defame,to try to diminish the reputation of
1417,defer,"to delay, or put off to a future time"
1418,defile,"to make impure, to make dirty"
1419,deflect,to make (something) deviate from its original path
1420,defoliate,to remove foliage from one or more plants
1421,deforest,to destroy or to fell all the trees of a forest
1422,deform,to remove the form of
1423,defraud,"to obtain money or property by fraud, to swindle"
1424,defray,to spend (money)
1425,defuse,to reduce the danger or tension in (a difficult situation)
1426,degrade,to lower in value or social position
1427,dehydrate,"to lose or remove water, to dry"
1428,deify,to make a god of (something or someone)
1429,deign,"to condescend, to accept as appropriate to one's dignity"
1430,deject,make sad or dispirited
1431,delegate,to entrust (a task or responsibility)
1432,deliberate,to consider carefully
1433,delineate,to describe or portray (something) precisely
1434,deliquesce,to melt and disappear
1435,delude,to deceive someone into believing something which is false
1436,deluge,to flood with water
1437,demagnetize,to remove the magnetic propreties of something
1438,demean,"to debase, to do something that is beneath one's dignity"
1439,demobilize,to release someone from military duty
1440,demolish,"to destroy, to full or knock down (a building)"
1441,demonstrate,clearly show the truth of (something) through proof
1442,demote,to lower the rank or status of something
1443,demur,to raise doubts or objections or show reluctance
1444,denigrate,"to criticize unfairly, to disparage"
1445,denizen,"to grant rights of citizenship to, to naturalize"
1446,denominate,"to call, to name"
1447,denote,"to indicate, to mark"
1448,denounce,to publicly declare to be wrong or evil
1449,denude,"to divest of all covering, to make bare or naked, to strip"
1450,deplete,to decrease seriously or exhaust the supply of (something)
1451,deplore,"to bewail, to weep bitterly over, to feel sorrow for"
1452,deploy,to arrange (usually a military unit or units) for use
1453,depopulate,to reduce the population of a region
1454,deport,to expel someone from a country
1455,deprave,to make morally bad or evil
1456,deprecate,to belittle or express disapproval of
1457,depreciate,to reduce in value over time
1458,depress,to press down on
1459,deracinate,"to pull up by the roots, to uproot, to extirpate"
1460,deride,"to harshly mock, ridicule"
1461,derive,to deduce (a conclusion) by reasoning
1462,descry,to see by looking carefully
1463,desecrate,to profane or violate the sacredness/sanctity of something
1464,desert,"to leave, to abandon, to forsake"
1465,desiccate,"lacking interest, passion, or energy"
1466,designate,"to mark out and make known, indicate"
1467,desist,"to cease to proceed or act, to stop"
1468,despair,"to give up as beyond hope or expectation, to despair of"
1469,despond,"to give up the will, courage, or spirit"
1470,deter,to prevent something from happening
1471,deteriorate,"to make worse, to make inferior in quality or value"
1472,detest,to dislike intensely
1473,detonate,to explode or cause to explode
1474,detract,"to take away, to withdraw or remove"
1475,detrude,to push downwards with force
1476,devastate,to destroy or ruin (something)
1477,develop,to grow or cause to grow and become more mature
1478,deviate,"to go off course from, to change course, to change plans"
1479,devise,to use one's intellect to plan or design (something)
1480,devitalize,"to deprive of vitality, make lifeless, weaken"
1481,devour,to eat (food or prey) hungrily or quickly
1482,diagnose,to determine the root cause of (a disease)
1483,dictate,"to order, command, control"
1484,diddle,"to cheat, swindle, hoax"
1485,differentiate,"to show, or be the distinction between two things"
1486,diffuse,"to pour out and spread, as liquid"
1487,digress,to deviate from the main subject in writing or speaking
1488,dilapidated,"fallen into partial ruin or decay, as from age or neglect"
1489,dilate,"to enlarge, to make bigger"
1490,dilute,to make thinner by adding a liquid or solvent
1491,disabuse,to persuade someone that an idea or belief is mistaken
1492,disadvise,"to advise against, to dissuade from"
1493,disagree,to not agree (harmonize)
1494,disallow,to refuse to allow
1495,disapprove,"to condemn, consider wrong or inappropriate"
1496,disarm,"to take away the weapons of, to render defenceless"
1497,disarrange,"to undo the arrangement of, to disorder, to derange"
1498,disarray,"to throw into disorder, to break the array of"
1499,disavow,"to disown, to repudiate, to refuse to acknowledge"
1500,disband,cause (an organized group) to break up
1501,disburden,"to remove the load from a pack animal, unload a vehicle, etc"
1502,disburse,"to pay out, expend, usually from a public fund or treasury"
1503,discard,"to throw away, to reject"
1504,discern,to perceive or recognize (something)
1505,discipline,to train someone by instruction and practice
1506,disclaim,"to renounce all claim to, to deny responsibility for"
1507,disclose,"to open up, unfasten"
1508,discolor,to change or lose color
1509,discombobulate,to disconcert or confuse (someone)
1510,discomfit,"to defeat completely, to rout"
1511,discomfort,to cause annoyance or distress
1512,disconcert,"to disturb the composure of, to unsettle"
1513,disconnect,to sever or interrupt a connection
1514,discountenance,"to have an unfavorable opinion of, to disapprove"
1515,discourse,"to engage in discussion or conversation, to converse"
1516,discover,"to remove the cover from, to uncover"
1517,discredit,"to harm the good reputation of a person, to defame"
1518,discriminate,"to recognize a distinction, to differentiate"
1519,disdain,to regard (someone or something) with strong contempt
1520,disencumber,to remove a burden
1521,disenfranchise,to deprive someone of a right of citizenship
1522,disengage,"to release or loosen from something that binds, unfasten"
1523,disentangle,"to free something from entanglement, to extricate or unknot"
1524,disfigure,change the appearance of something/someone to the negative
1525,disgruntle,to put into a bad mood or into bad humour
1526,dishearten,to cause someone to lose confidence
1527,disillusion,"to free or deprive someone of idealism, belief, etc"
1528,disinfect,to sterilize by the use of cleaning agent such as bleach
1529,disinherit,"to exclude from inheritance, to disown"
1530,disinter,to dig up (something buries)
1531,dislocate,to put something out of its usual place
1532,dislodge,to remove or force out from a position previously occupied
1533,dismount,to get off (something)
1534,disown,to refuse to own or to refuse to acknowledge one?ÇÖs own
1535,disparage,to regard or represent as being of little worth
1536,dispatch,to send a shipment with promptness
